"annotation_place_title","counts"
"苏州拙政园",141
"观前街",140
"金鸡湖",50
"苏州博物馆",40
"同里古镇",39
"七里山塘景区",37
"虎丘山风景区",35
"木渎古镇",33
"东方之门",32
"寒山寺",27
"十全街",25
"苏州乐园",22
"苏州中茵皇冠假日酒店",19
"沙溪古镇",18
"上方山国家森林公园",17
"留园",17
"南浔古镇",15
"西园寺",14
"桃花坞",13
"双塔",12
"f直古镇",12
"苏州灵岩山寺",11
"尚湖风景区",11
"山塘老街",11
"李公堤",11
"莲花岛",10
"苏州昆山亭林园",10
"锦溪古镇",9
"方塔东街步行街",9
"桐泾公园",8
"北塔蠖魉",8
"黎里古镇",7
"苏州乐园水上世界",7
"网师园",7
"太湖湿地公园",6
"兴福禅寺",6
"苏州天平山景区",6
"沧浪亭",6
"金凤凰温泉度假村",5
"四季悦温泉",5
"沙湖生态公园(星华街)",5
"千灯古镇",5
"凯博休闲农庄",5
"长广溪湿地公园",5
"环秀晓筑养生度假村",4
"石湖景区",4
"苏州摩天轮乐园",4
"苏州太湖牛仔风情度假村",4
"枕水度假酒店",4
"盘门景区",4
"东方云鼎温泉度假酒店",4
"三国城",4
"购物公园",3
"阳澄湖水上公园",3
"西山风景区",3
"同里湖度假村",3
"阳山温泉度假山庄",3
"书香世家树山温泉酒店",3
"报国寺",3
"苏州f直古镇旅游区",3
"旺山生态园",2
"三丰清凉禅寺",2
"永庆寺",2
"定慧寺",2
"镜湖公园",2
"淀山湖森林度假村",2
"香山风景区",2
"同觉寺",2
"穹窿山风景区",2
"荷塘月色湿地公园",2
"嘉业阳光假日",2
"小石湖",2
"暨阳湖",2
"南广教寺",1
"丰硕茶楼",1
"西塘古镇",1
"南园",1
"艺圃",1
"菩提禅寺",1
"水浒城",1
"慈云禅寺",1
"能仁寺",1
"皇罗禅寺",1
"全福讲寺",1
